timestamp,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw,NAV_CONTROLLER_OUTPUT.nav_roll,NAV_CONTROLLER_OUTPUT.nav_pitch,NAV_CONTROLLER_OUTPUT.nav_bearing,NAV_CONTROLLER_OUTPUT.target_bearing,NAV_CONTROLLER_OUTPUT.wp_dist,NAV_CONTROLLER_OUTPUT.alt_error,NAV_CONTROLLER_OUTPUT.aspd_error,NAV_CONTROLLER_OUTPUT.xtrack_error
1634177378.99710393,,,,,,,,200753,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.00996804,,,,,,,,221578,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.01386404,,,,,,,,242403,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.01424789,,,,,,,,263228,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.01492381,,,,,,,,284053,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.01528382,,,,,,,,304878,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.01570392,,,,,,,,325703,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.02419186,,,,,,,,346528,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.02460384,,,,,,,,367353,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.02502394,,,,,,,,388178,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1634177379.02689600,,,,,,,,409003,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
