timestamp,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw,NAV_CONTROLLER_OUTPUT.nav_roll,NAV_CONTROLLER_OUTPUT.nav_pitch,NAV_CONTROLLER_OUTPUT.nav_bearing,NAV_CONTROLLER_OUTPUT.target_bearing,NAV_CONTROLLER_OUTPUT.wp_dist,NAV_CONTROLLER_OUTPUT.alt_error,NAV_CONTROLLER_OUTPUT.aspd_error,NAV_CONTROLLER_OUTPUT.xtrack_error
1633182954.13754797,,,,,,,,200753,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.15585995,,,,,,,,221578,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.15611601,,,,,,,,242403,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.15630388,,,,,,,,263228,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.15648389,,,,,,,,284053,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.15666389,,,,,,,,304878,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16041183,,,,,,,,325703,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16670394,,,,,,,,346528,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16698003,,,,,,,,367353,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16717196,,,,,,,,388178,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16746402,,,,,,,,409003,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16777992,,,,,,,,429828,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16796398,,,,,,,,450653,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16813993,,,,,,,,471478,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16831589,,,,,,,,492303,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.16848803,,,,,,,,513128,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18484402,,,,,,,,533953,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18506384,,,,,,,,554778,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18529582,,,,,,,,575603,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18548393,,,,,,,,596428,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18565989,,,,,,,,617253,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18583584,,,,,,,,638078,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.18601203,,,,,,,,658903,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.19512796,,,,,,,,679728,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.19534802,,,,,,,,700553,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
1633182954.19553185,,,,,,,,721378,0,1500,1500,1000,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,,,,,,,,
